Name,Rating,Cuisine,Discounts,Image URL,Link,Area,Detailed Cuisine
M.Z Kitchen,3.6(5)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/dgf1/m-z-kitchen,"Deluxe Basera Apartment, Tot Wit School St B-38","Beverages, Pakistani, Karahi & Handi, Nihari, Qeema"
Cafe Desi,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pxy0/cafe-desi-pxy0,Shop no A3 shoaib plaza block 1 Gulshan Iqbal Karachi,"Pakistani, Savouries, Samosa, Halwa Puri"
Homies Cafe,4.7(77)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/c3bs/homies-cafe-c3bs,"A-67 Sector V1, Gulshan e Maymar Karachi","Chinese, Desserts, Beverages, Wraps & Rolls"
DESILICIOUS (Homechef),4.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/jqda/desilicious-homechef,Nazimabad no 2 block 2G plot 3/10,"Chinese, Pakistani, Pulao, Paratha, Qeema"
Rawaaz Biryani House & Pakwan Centre,,Pakistani,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n426/rawaaz-biryani-house-and-pakwan-centre,Shop#2B-A fl-1 ground floor shoaib plaza gulshan e iqbal block 1,"Beverages, Pakistani, Biryani, Pulao"
Marhaba Cafe,4.7(32)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/mcpe/marhaba-cafe-mcpe,Shop#A28  amreen apartment block 2 near imtiaz market,"Pakistani, Tea & Coffee, Paratha"
MASTER CHEF,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v6j5/master-chef-v6j5,"Gulshan e Iqbal, Block 1, Appartment Maymaar Plaza, Flat No# B3/3, Block B, 2nd floor, Karachi","Wraps & Rolls, Pakistani, Tea & Coffee, Paratha"
Ammi ka Kitchen,4.8(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Up to 15% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/mkd9/ammi-ka-kitchen-mkd9,A_1/19 block 4 Gulshan-e-Iqbal near arena multimedia,"Chinese, Continental, Fast Food, Pakistani, Biryani"
Muhammadi Dehli Sheermal House,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/m2fw/muhammadi-dehli-sheermal-house,"Shop 1, Plot no B31, Block-2 Gulshan-e-Iqbal, Karachi","Pakistani, Karahi & Handi"
Sarah's home food,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/c38x/sarahs-home-food,Flat no. E 406 pioneer fountain phase 1 scheme 33 Gulzar- e- Hijri  Karach,Pakistani
Chaska Food,,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ld8m/chaska-food-ld8m,Gwalior society scheme 33 plot no cm 65 commercial area Cm -65,"Burgers, Beverages, Pakistani, Western, Pulao"
Shan Sweets,3.9(9)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/xwmj/shan-sweets,"Block 2 Liaquatabad Town, Karachi, Karachi City, Sindh","Cakes & Bakery, Desserts"
Hot n Chilli Roll BBQ,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/u7ev/hot-n-chilli-roll-bbq,B-31 Block 2 Gulshan e Iqbal near Basera apartment karachi sindh,"Fast Food, Wraps & Rolls, Pakistani, BBQ"
Muhammadi Dehli Nihari Restaurant,4.5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/o9zh/muhammadi-dehli-nihari-restaurant,"Shop 2, Plot no B31, Block-2 Gulshan-e-Iqbal, Karachi","Pakistani, Karahi & Handi, Nihari"
Binoria Restaurant,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s9up/binoria-restaurant,"Binoria Restaurant Plot LS 6 Near Site Police Station,  Fakharuddin Road, S.I.T.E area ,Karachi","Pakistani, Karahi & Handi"
Krave Diner,4.1(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/e7ip/krave-diner,"Plot # 215, Block 3, KDA Market, Gulshan e Iqbal. Karachi","Fast Food, Healthy Food"
Ahmed Foods,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/glaf/ahmed-foods-glaf,"House no. A-444, Block 1 Gulshan-e-Iqbal, Karachi",
LACHINE - Gulshan,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/sh3r/lachine-gulshan,Shop No 1 & 2 Masiam plaza Main KDA Market Block-3 Gulshan-e-Iqbal Karachi,Chinese
Shake Delight,4.1(37)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,"20% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/krym/shake-delight,Gulshan Iqbal block 4 C 33 Adamjee Coaching Centre Head Office Karachi,"Desserts, Ice Cream, Shakes"
Shafiq Restaurant,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pox8/shafiq-restaurant-pox8,"Plot no ls/2,Sector z2 gulshan e maymar, karachi","Desserts, Pakistani, Pulao, Karahi & Handi, Nihari"
Quick Sip,3.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Beverages,25% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/x1p3/quick-sip,Gulshan Iqbal block 4 C-33 Karachi Pakistan,"Beverages, Shakes"
Cream & Crunch,,Cakes & Bakery,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/baqt/cream-and-crunch,Gulshan-e-Iqbal block 4 C -33,Cakes & Bakery
Food Bank,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n5mf/food-bank-n5mf,"A-29,Block 1 Gulshan e Iqbal near total parco pump backside of practical centre (1st Floor)","Fast Food, Beverages, Wraps & Rolls"
Waqas Ghazi Biryani Centre,4.9(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t8aj/waqas-ghazi-biryani-centre,Main Gulshan Iqbal KDA Market Rizwan town shop no 7 block 3,"Pakistani, Biryani, Pulao"
Ferdos Kitchen,4.6(34)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/zbrn/ferdos-kitchen,"Gulshan-e-Iqbal,block 1  zia colony immam bargah ki back side Street 6  Plot no 152 A 3rd floor","Sandwiches, Pakistani, Western, Biryani, Pulao"
Karachi Broast - Rizvia,4.5(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v2yq/karachi-broast-rizvia,"Shop # D3, Rizvia Apartment, Rizvia Society, Nazimabad Karachi ? Opposite Sir Syed Girls College, Karachi","Fast Food, Pakistani, Dine-in Prices"
Ikigaii_pk - Maymar,4(24)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,10% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gd2i/ikigaii_pk-maymar,House no A/101/N sector z4 near total petrol Gulshan e maymar,"Desserts, Ice Cream, Shakes"
Super Subhan Allah Burger,4.8(44)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vv7j/super-subhan-allah-burger,Shop number 4 Block 2 Neir Tastay Fasad food & Bar B Q Rab Madiical Gulshan .E.Iqbal Karchi,"Burgers, Fast Food, Western"
Agha Hassan Juice Center (Rab Medical),4.9(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Healthy Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v8uf/agha-hassan-juice-center-rab-medical,"Shop # 5, Block-2, Sb-1, Rab Medical Center Gulshan- E-Iqbal, Karachi","Desserts, Beverages, Healthy Food, Shakes"
Shakeistan,4(28)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/me29/shakeistan,Gulshan iqbal block 4 C 33 house karachi near Farooq- e-Azam Masjid,
Kashif Foods - Gulshan,4.8(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s0el/kashif-foods-gulshan,"Shop # Sb 4/2, Royal Plaza, Block 2 Gulshan Iqbal Karachi.",Pakistani
Al Madina Food's By Sahar,4.3(17)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/cj8p/al-madina-foods-by-sahar,liaqatabad block 9 street 9 near Adnan bakery #plot109,"Beverages, Pakistani, Biryani, Pulao, Paratha"
Zam Zam Peyala - Branch 11,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gvqh/zam-zam-peyala-branch-11,"249F+C7V, RCHS, Sindh Provincial Echs Muhammadpur Sector V Gulshan-e-Maymar, Karachi, Karachi City, Sindh 75340","Pakistani, Paratha"
Dumpling Station,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nrh3/dumpling-station-nrh3,House no A/101/N sector z4 near total petrol Gulshanÿeÿmaymar,"Desserts, Burgers, Beverages, Pasta, Pakistani"
Meal Style,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nby2/meal-style,Flat no C 103 first floor Madina view near practical center and total petrol pump Allama Shabbir Ahmed Usmani road SB 10 gulshan e Iqbal block 1 Karachi near practical centre,"Burgers, Fast Food, Beverages, Wraps & Rolls, Pakistani"
Tasty Fastfood & Bar B.B.Q,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,10% off Rs.199,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v8xl/tasty-fastfood-and-bar-b-b-q,"Gulshan-e-Iqbal, Block # 2, Near Rab Medical Center, Karachi","Burgers, Fast Food, Western"
Yellow Taxi Pizza Co.,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 40% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/y6w0/yellow-taxi-pizza-co-y6w0,"Shop No. 14-15, lucky center, Gulshan Iqbal, block-4, Karachi","Pizza, Pasta, Western"
Disco Sweets & Parathas,4.9(10000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s5qf/disco-sweets-and-parathas,"Gulshan-e-Iqbal,Block-3 Karachi, Pakistan 75300","Pakistani, Savouries, Samosa"
Yuka Coffee,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/sls0/yuka-coffee,"Shop # A-3 Sumaira Square Appartment Gulshan block 4, Karachi",
Meraki - Gulshan,4.7(49)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ly18/meraki-gulshan,"Eat Cloud Kitchen, Shop No 2, Plot No B-3, Allama Shabbir Ahmed Usmani Road, Block 4, Gulshan E Iqbal, adjacent to Red Apple Disco Bakery",Chinese
MARHABA BURGER,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Burgers,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/pe0a/marhaba-burger-pe0a,Marhaba burger next to meezan bank disco bakery gulshan e iqbal,"Burgers, Western"
Al Madina Biryani & Hotel,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/r71s/al-madina-biryani-and-hotel,"Shop No.7-8 , block - 1 , gulshan e iqbal, karachi","Pakistani, Pulao, Karahi & Handi"
AA Food Center - Rizvia,4.7(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n7og/aa-food-center-rizvia,"Plot No. 110,111 & 112, Gulbahar Rizvia Society, Nazimabad No.1","Chinese, Fast Food, Pakistani, Pulao, Karahi & Handi"
Jolly Boba - Gulshan,4.7(74)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Beverages,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/a0j3/jolly-boba-gulshan,"Eat Cloud Kitchen, Shop No 2, Plot No B-3, Allama Shabbir Ahmed Usmani Road, Block 4, Gulshan E Iqbal, adjacent to Red Apple Disco Bakery",Beverages
Quetta Tea Star Cafe,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/z0zq/quetta-tea-star-cafe,"Quetta Town Sector 18 A Gulzar E Hijri Scheme 33, Karachi","Burgers, Beverages, Pakistani, Western, Biryani"
Hot n Tasty Roll & BBQ - Disco Bakery,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t3gu/hot-n-tasty-roll-and-bbq-disco-bakery,"Shop # A2/30 Gulistan-e-Erum appartment, Block # 3 Gulshan e Iqbal next to sohny bakery","Fast Food, Wraps & Rolls, Pakistani, BBQ"
MASHALLAH QUETTA BHAIJAN PAKWAN CENTRE & SHEERMAL HOUSE,4.9(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/wlyr/mashallah-quetta-bhaijan-pakwan-centre-and-sheermal-house,"Plot SB-10, Shop#3, Block 4 near Al haaj Akhter pakwan . KArachi",Pakistani
NIWALA,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,"15% off Rs.199, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vzq6/niwala-vzq6,"House number A-12 ,sector Z2,gulshan e maymar,",
Caesar's Pizza - Gulshan,4.9(12)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/naii/caesars-pizza-gulshan,"Eat Cloud Kitchen, Shop No 2, Plot No B-3, Allama Shabbir Ahmed Usmani Road, Block 4, Gulshan E Iqbal, adjacent to Red Apple Disco Bakery","Pizza, Desserts, Beverages"
KIMCHI - Gulshan,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 25% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/a57k/kimchi-gulshan,"Eat Cloud Kitchen, Shop No 2, Plot No B-3, Allama Shabbir Ahmed Usmani Road, Block 4, Gulshan E Iqbal, adjacent to Red Apple Disco Bakery","Burgers, Fast Food, Western"
Pizza 363 - Gulshan - e - Iqbal,4.6(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/cck4/pizza-363-gulshan-e-iqbal,Sizzlerz Cafe & Grill (Gulshan Branch),Pizza
Bhai Jaan Hotel,4.5(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/b5ev/bhai-jaan-hotel,"Shop No. 4, Allama Shabbir Ahmed Usmani Rd, Block 4 Gulshan-e-Iqbal, Karachi","Pakistani, Tea & Coffee, Paratha"
Agha Raza Juice - Disco Gulshan,4.8(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Healthy Food,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v9of/agha-raza-juice-disco-gulshan,"A-495 Allama Shabbir Ahmed Usmani Rd, Block 3 Gulshan-e-Iqbal, Karachi","Desserts, Beverages, Healthy Food"
Quetta Bhai Jan Hotel,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/eirl/quetta-bhai-jan-hotel,"SB-10 Shop no 3, Block-4 Gulshan-e-Iqbal, Karachi","Pakistani, Paratha"
House Of Waffles,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/libe/house-of-waffles,"Eat Cloud, Plot B3, Near Disco bakery, Block 4, Gulshan-e-Iqbal, Karachi City, Sindh, Pakistan","Desserts, Healthy Food"
Red Apple - Gulshan,4.8(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Wraps & Rolls,25% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/qr56/red-apple-gulshan,"b 2, Block 4 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh.","Wraps & Rolls, Pakistani, Dine-in Prices"
Disco Bakers - Gulshan,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Savouries,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/orak/disco-bakers-gulshan,"A-495 Allama Shabbir Ahmed Usmani Rd, Block 3 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh","Cakes & Bakery, Savouries"
CAFE RAHAT,4.7(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/k6wc/cafe-rahat,"Cafe Rahat shop # 17, Shaheen Hights next to allied bank....block 7 gulshan e iqbal...near maskan chwrangi","Pakistani, Paratha"
Royal Taj - Gulshan,4.6(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/u3wr/royal-taj-gulshan,"B-4, FL-7, Block 7 Gulshan e Iqbal Near Disco Bakery Karachi","Pakistani, Karahi & Handi, Paratha"
Aussie Burger Company - Gulshan,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/j52e/aussie-burger-company-gulshan,"Aussie Burger Gushan plot # Fl -6 B-2 Block -7  Gulshan-e Iqbal,ÿKarachi","Burgers, Fast Food, Western"
Pizza Bistro - Gulshan,5(6)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/yxua/pizza-bistro-gulshan,"4/FL, 6, Block 4 Gulshan-e-Iqbal, next to Waheed Kabab House,  Karachi, 75300","Pizza, Desserts, Pasta, Shakes"
New Quetta Haji Akbar Hotel,4.8(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ker9/new-quetta-haji-akbar-hotel,Shop# 14 plot # FL 05 Block_7 Opposite Disco Bakery (Gulshan Apartment) Gulshan e IqbalÿKarachi,"Beverages, Pakistani, Paratha"
Kaybees - Gulshan Iqbal,4.5(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s4xy/kaybees-gulshan-iqbal-s4xy,"Regency Appartments, Allama Shabbir Ahmed, Usmani Road, Block 4, Gulshan E Iqbal,Karachi","Sandwiches, Pakistani, Western, Dine-in Prices"
WOK'S,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/fukc/woks,Unit F1 1st Floor Plot GPC KDA king Doctor America Scheme 24 Gulshan-e-Iqbal Block 4 near Burger O clock Karachi,Chinese
New Quetta Haji Akbar Hoel,4.7(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nu15/new-quetta-haji-akbar-hoel,Shop no.ES/9 disco bakery ke samne gulshan apartment gulshan e iqbal karachi,"Pakistani, Paratha"
Mohsin Foods,4.8(15000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,25% off selected items,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/q7gw/mohsin-foods,"Sector Z Gulshan-e-Maymar, Karachi, Karachi City, Sindh","Pakistani, Karahi & Handi"
Ghazi Foods,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/msi7/ghazi-foods-msi7,"30 Nishtar Rd, Sector Z Gulshan-e-Maymar, Karachi, Karachi City, Sindh","Pakistani, Biryani, Pulao"
Cafe Akbar Hotel (Gulshan),4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/e4bz/cafe-akbar-hotel-gulshan,"Shop no ES/4/ gulshan apartments nazd disco bakery block/7/
Cafe Akbar Hotel","Beverages, Pakistani, Tea & Coffee, Paratha"
Bhashani Sweets Bakers Nimco - Gulshan,4.9(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/d3zk/bhashani-sweets-bakers-nimco-gulshan,"Shop#3&4 Alshams Plaza, Gulshan-e-iqbal block 06,main rashid rashid Minhas.","Cakes & Bakery, Desserts, Ice Cream"
New Mehfooz Sheermal & Tandoor,4.9(58)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/y50m/new-mehfooz-sheermal-and-tandoor,"Shop NO.1 Plot NO. A45 Sector Z2 Gulshan e Maymar, Karachi","Pakistani, Paratha"
New o Premier Biryani,4.5(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t1bl/new-o-premier-biryani,"Shop no 5A,lateef plaza block 6 gulshan e iqbal Karachi","Pakistani, Biryani, Pulao"
Dehli Malik Nihari House,4.7(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t2di/dehli-malik-nihari-house,"Shop # A6, Latif Plaza, Block # 6 Gulshan-e-Iqbal. Near Disco Bakery Karachi, Pakistan 75950","Pakistani, Karahi & Handi, Nihari"
The Bakers Sweets and Nimco (Gulshan-e-Iqbal ),4.9(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v8po/the-bakers-sweets-and-nimco-gulshan-e-iqbal,Gulshan e iqbal block 4 opposite kfc gpc 1,Cakes & Bakery
XTRA (Your Hunger's Killer),4.6(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/qm6e/xtra-your-hungers-killer,"Block no 4, Regency Heights, Shop: A-3/6, Gulshan-e-Iqbal, Karachi, 75300","Fast Food, Western"
Z-Six Sheermal and Bar B Q,4.8(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/f4ih/z-six-sheermal-and-bar-b-q,"A-132, sector Z-6, gulshan e maymar","Fast Food, Pakistani"
